dataset,LogisticRegression()-HO,LogisticRegression()+HO,Perceptron()-HO,Perceptron()+HO,PassiveAggressiveClassifier()-HO,PassiveAggressiveClassifier()+HO,RidgeClassifier()-HO,RidgeClassifier()+HO,LinearDiscriminantAnalysis()-HO,LinearDiscriminantAnalysis()+HO,QuadraticDiscriminantAnalysis()-HO,QuadraticDiscriminantAnalysis()+HO,LinearSVC()-HO,LinearSVC()+HO,KNeighborsClassifier()-HO,KNeighborsClassifier()+HO,NearestCentroid()-HO,NearestCentroid()+HO,GaussianNB()-HO,GaussianNB()+HO,MultinomialNB()-HO,MultinomialNB()+HO,ComplementNB()-HO,ComplementNB()+HO,BernoulliNB()-HO,BernoulliNB()+HO,DecisionTreeClassifier()-HO,DecisionTreeClassifier()+HO,RandomForestClassifier()-HO,RandomForestClassifier()+HO,MLPWrapper()-HO,MLPWrapper()+HO
394.arff,0.666666667,0.733333333,0.666666667,0.733333333,0.733333333,0.733333333,0.666666667,0.666666667,0.733333333,0.733333333,0.733333333,0.733333333,0.666666667,0.733333333,0.666666667,0.666666667,0.266666667,0.266666667,0.733333333,0.733333333,0.6,0.6,0.266666667,0.266666667,0.6,0.6,0.733333333,0.8,0.666666667,0.8,0.666666667,0.666666667
395.arff,0.814814815,0.925925926,0.666666667,0.925925926,0.888888889,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.703703704,0.851851852,0.444444444,0.851851852,0.925925926,0.925925926,0.481481481,0.481481481,0.703703704,0.703703704,0.481481481,0.481481481,0.851851852,0.925925926,0.851851852,0.925925926,0.555555556,0.925925926
396.arff,0.866666667,1,1,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,1,1,0.933333333,1,0.933333333,1,1,1,1,1,0.666666667,0.666666667,0.8,0.8,0.666666667,0.666666667,1,1,1,1,0.933333333,0.866666667
397.arff,0.666666667,0.666666667,0.444444444,0.444444444,0.666666667,0.666666667,0.777777778,0.777777778,0.666666667,0.666666667,0.555555556,0.555555556,0.666666667,0.666666667,0.333333333,0.444444444,0.777777778,0.777777778,0.777777778,0.777777778,0.444444444,0.444444444,0.555555556,0.555555556,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0.666666667,0.666666667,0.555555556
398.arff,0.8,0.8,0.6,0.5,0.6,0.5,0.8,0.8,0.7,0.8,0.6,0.6,0.8,0.5,0.6,0.6,0.8,0.8,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7
399.arff,0.727272727,1,0.454545455,0.545454545,0.454545455,0.636363636,0.727272727,0.727272727,0.909090909,0.909090909,0.727272727,0.727272727,0.818181818,0.636363636,0.727272727,0.909090909,0.545454545,0.545454545,0.545454545,0.636363636,0.727272727,0.727272727,0.909090909,0.909090909,0.454545455,0.454545455,0.727272727,0.909090909,0.727272727,0.636363636,0.727272727,0.636363636
400.arff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777778,0.666666667,1,1,1,1,0.888888889,0.888888889,1,1,0.666666667,1,1,1,1,0.888888889
401.arff,1,1,1,1,1,1,1,1,1,1,0.888888889,1,1,1,0.888888889,1,1,1,0.888888889,1,0.888888889,0.888888889,1,1,0.666666667,0.444444444,1,1,1,1,1,1
402.arff,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.6,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.4
403.arff,0.413793103,0.413793103,0.586206897,0.413793103,0.517241379,0.586206897,0.482758621,0.448275862,0.482758621,0.482758621,0.517241379,0.517241379,0.482758621,0.448275862,0.448275862,0.551724138,0.448275862,0.413793103,0.482758621,0.482758621,0.379310345,0.379310345,0.517241379,0.517241379,0.413793103,0.413793103,0.655172414,0.413793103,0.620689655,0.482758621,0.482758621,0.482758621
