dataset,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
41,8.0,4.375,2.2638462845343543,0.125,0.3252691193458119,64.3047619047619,55.56531557934733,0.5,0.5303300858899106,7.0,0.0679611650485436,0.07,1.0,0.0,1.0,0.0,3.733333333333333,2.2509257354845507,0.1142495653147856,0.1264630795775608,0.248046875,0.1890168370181325,0.0097087378640776,0.0361633215592943
43,2.0,1.0,0.0,0.5,0.0,4.0,0.0,0.5,0.0,1.0,0.0129870129870129,0.0151515151515151,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.0129870129870129,0.1139605764596379
44,19.0,6.2105263157894735,2.4850429767895825,0.0526315789473684,0.0446728821564253,503.5238095238095,616.5144691484168,0.5,0.1860807318911967,18.0,3.6,0.2222222222222222,1.8,0.7888106377466155,3.6,4.159326868617085,5.405405405405405,2.597642729042573,0.1002719299934569,0.1220129428277559,0.1357935855263158,0.1417901916831528,0.2,0.3784137430840252
45,8.0,4.375,2.2638462845343543,0.125,0.1716516405813988,64.3047619047619,55.56531557934733,0.5,0.3535533905932738,7.0,0.5,0.175,1.0,0.0,1.0,0.0,3.733333333333333,2.2509257354845507,0.1142495653147856,0.1264630795775608,0.248046875,0.1890168370181325,0.0714285714285714,0.1481340478201763
46,124.0,12.798387096774194,8.251119499022495,0.0080645161290322,0.0162067349121317,6531115340.920821,32427969023.38608,0.5,0.1596692731711559,123.0,0.3022113022113022,0.3245382585751979,3.4166666666666665,3.659625273557,1.2058823529411764,0.5328465551813827,11.854251012145747,8.325383127109498,0.0263258203397654,0.0620983389486197,0.0387969478613212,0.0720645636351258,0.0024570024570024,0.0058101316394268
48,12.0,4.25,1.6583123951777,0.0833333333333333,0.1270544501054316,78.3047619047619,71.72194229664113,0.5,0.0,11.0,2.2,0.0833333333333333,1.5714285714285714,0.7867957924694431,2.75,1.707825127659933,3.4782608695652173,1.879786380933925,0.1316533144657086,0.1369092802363602,0.2591145833333333,0.1456958733927431,0.2,0.2734976691536116
49,49.0,7.122448979591836,2.1372943669238342,0.0204081632653061,0.10600558780767,2077.680230880231,3464.5605675708275,0.5,0.2741842620927429,48.0,6.857142857142857,0.0118460019743336,4.0,2.891995221924885,8.0,6.54217089351845,6.206185567010309,2.427868339416188,0.0804940684822399,0.0787646449214754,0.0859673947704081,0.1002999302089895,0.1428571428571428,0.3704433342964238
51,9.0,3.7777777777777777,1.563471919941143,0.1111111111111111,0.1350154312168304,43.73333333333333,32.03185914054943,0.5,0.0785674201318386,8.0,0.6666666666666666,0.1666666666666666,1.3333333333333333,0.5163977794943223,1.0,0.0,3.0588235294117645,1.7489492643904123,0.1527457758562809,0.156054582610801,0.3020833333333333,0.1601086057181187,0.0833333333333333,0.1389728502665867
52,83.0,11.036144578313252,3.3438906182240884,0.0120481927710843,0.0226368309383168,59517.52465312466,91340.83942870714,0.5,0.0255580764284294,82.0,7.454545454545454,0.1752136752136752,5.125,3.263433774416144,7.454545454545454,14.42472624602378,10.10909090909091,3.5078625654763766,0.0490086196846252,0.1171298640169074,0.0357250535344503,0.0993629375265128,0.0909090909090909,0.1212150619793225
53,21.0,7.0,3.3166247903554,0.0476190476190476,0.038495387272631,2107.168875568876,4067.4052417312832,0.5,0.0336717514850737,20.0,4.0,0.4166666666666667,1.5384615384615383,0.7762500258061847,5.0,2.70801280154532,6.195121951219512,3.3780135597353804,0.0668489765049897,0.1091299437389552,0.1227562313988095,0.1407290046323623,0.1999999999999999,0.1501366398464143
