dataset,best_node.mean.relative,best_node.sd.relative,elite_nn.mean.relative,elite_nn.sd.relative,linear_discr.mean.relative,linear_discr.sd.relative,naive_bayes.mean.relative,naive_bayes.sd.relative,one_nn.mean.relative,one_nn.sd.relative,random_node.mean.relative,random_node.sd.relative,worst_node.mean.relative,worst_node.sd.relative
26,7.0,2.0,6.0,3.0,2.0,4.0,4.0,5.0,3.0,6.5,1.0,1.0,5.0,6.5
27,3.0,5.0,4.0,1.0,6.0,6.0,7.0,4.0,5.0,7.0,1.5,2.5,1.5,2.5
28,3.5,6.5,1.0,5.0,6.0,3.0,7.0,2.0,5.0,4.0,3.5,6.5,2.0,1.0
29,3.5,1.0,3.5,3.0,7.0,6.0,6.0,7.0,5.0,5.0,2.0,4.0,1.0,2.0
30,5.0,6.0,3.0,2.0,7.0,5.0,1.0,4.0,6.0,7.0,3.0,2.0,3.0,2.0
31,1.0,1.5,3.0,3.0,5.0,7.0,2.0,5.0,6.0,1.5,7.0,4.0,4.0,6.0
32,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
33,6.5,2.5,6.5,2.5,5.0,7.0,1.0,5.0,3.0,6.0,4.0,1.0,2.0,4.0
34,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
35,3.0,7.0,1.0,3.0,7.0,4.0,6.0,5.0,5.0,6.0,3.0,1.5,3.0,1.5
36,6.0,2.0,4.0,5.0,3.0,4.0,1.0,6.0,2.0,7.0,6.0,2.0,6.0,2.0
37,7.0,4.0,4.0,5.0,2.0,3.0,6.0,6.0,5.0,7.0,3.0,1.0,1.0,2.0
38,6.0,2.0,4.0,7.0,3.0,6.0,1.0,4.0,2.0,5.0,6.0,2.0,6.0,2.0
39,3.0,3.0,2.0,7.0,7.0,4.0,6.0,5.0,1.0,6.0,4.0,1.0,5.0,2.0
40,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
41,5.5,2.5,3.0,7.0,5.5,2.5,1.0,6.0,2.0,5.0,5.5,2.5,5.5,2.5
42,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0
43,6.5,1.5,6.5,1.5,5.0,6.0,2.0,7.0,3.0,4.0,1.0,3.0,4.0,5.0
44,7.0,4.0,3.0,2.0,4.0,6.0,6.0,7.0,5.0,5.0,2.0,1.0,1.0,3.0
45,5.5,4.5,5.5,4.5,3.0,1.5,7.0,3.0,4.0,6.0,2.0,7.0,1.0,1.5
46,6.0,4.0,5.0,5.0,7.0,6.0,1.0,3.0,2.0,7.0,3.5,1.5,3.5,1.5
47,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
48,6.0,4.0,3.0,5.0,7.0,2.0,5.0,7.0,4.0,3.0,1.0,1.0,2.0,6.0
49,6.0,5.0,3.0,7.0,4.0,6.0,5.0,4.0,7.0,3.0,1.5,1.5,1.5,1.5
50,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
51,6.0,5.0,4.0,7.0,6.0,5.0,3.0,2.0,2.0,3.0,1.0,1.0,6.0,5.0
52,3.0,4.0,5.0,2.0,6.0,7.0,7.0,6.0,1.0,1.0,4.0,5.0,2.0,3.0
53,1.0,5.0,7.0,1.0,3.0,6.0,2.0,3.0,6.0,7.0,4.0,2.0,5.0,4.0
54,5.0,3.0,2.0,6.0,6.0,4.0,1.0,7.0,7.0,5.0,3.5,1.5,3.5,1.5
55,5.0,5.0,3.0,7.0,7.0,3.0,4.0,6.0,6.0,4.0,1.5,1.5,1.5,1.5
56,5.0,5.0,3.0,7.0,7.0,3.0,4.0,6.0,6.0,4.0,1.5,1.5,1.5,1.5
57,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
58,4.0,6.0,3.0,4.0,1.0,7.0,7.0,3.0,2.0,5.0,5.5,1.5,5.5,1.5
59,2.0,7.0,1.0,6.0,3.0,5.0,7.0,3.0,6.0,4.0,4.0,1.0,5.0,2.0
60,4.0,6.0,2.0,7.0,1.0,5.0,7.0,3.0,3.0,4.0,5.0,1.0,6.0,2.0
61,1.5,6.5,1.5,6.5,5.0,4.0,7.0,1.0,6.0,2.0,3.0,3.0,4.0,5.0
62,3.5,2.5,3.5,2.5,6.0,5.0,7.0,7.0,5.0,4.0,1.0,1.0,2.0,6.0
63,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
64,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
65,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0
66,6.5,2.0,3.0,5.0,6.5,1.0,5.0,4.0,4.0,3.0,2.0,6.0,1.0,7.0
67,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
68,7.0,2.0,4.0,4.0,6.0,6.0,3.0,5.0,5.0,3.0,1.0,1.0,2.0,7.0
69,6.0,2.0,3.0,4.0,4.0,6.0,1.0,5.0,2.0,7.0,6.0,2.0,6.0,2.0
70,1.0,6.0,2.0,4.0,7.0,3.0,6.0,5.0,5.0,1.0,3.0,7.0,4.0,2.0
71,4.0,7.0,1.0,4.0,7.0,1.0,6.0,2.0,2.0,6.0,3.0,3.0,5.0,5.0
72,5.0,6.0,1.0,7.0,7.0,3.0,6.0,5.0,4.0,4.0,2.5,1.5,2.5,1.5
73,4.0,4.0,3.0,6.0,6.0,5.0,5.0,3.0,7.0,7.0,1.0,2.0,2.0,1.0
74,7.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,3.0,3.0,1.0,1.0,2.0,2.0
75,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
76,6.5,1.5,6.5,1.5,5.0,3.0,4.0,7.0,3.0,6.0,2.0,5.0,1.0,4.0
77,3.5,5.0,3.5,5.0,5.5,7.0,7.0,5.0,5.5,3.0,1.0,1.0,2.0,2.0
78,7.0,4.0,5.0,3.0,6.0,5.0,4.0,7.0,1.0,6.0,3.0,1.0,2.0,2.0
79,7.0,4.0,6.0,5.0,5.0,7.0,3.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0
80,5.0,5.0,2.0,7.0,4.0,3.0,1.0,6.0,3.0,4.0,6.5,1.5,6.5,1.5
81,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
82,6.0,4.0,2.0,7.0,7.0,6.0,1.0,3.0,3.0,5.0,4.5,1.5,4.5,1.5
83,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
84,5.0,5.0,4.0,7.0,6.0,4.0,1.0,6.0,7.0,3.0,3.0,2.0,2.0,1.0
85,6.0,6.0,4.0,3.0,7.0,4.0,5.0,7.0,3.0,5.0,1.5,1.5,1.5,1.5
86,3.5,2.5,3.5,2.5,7.0,5.0,6.0,6.0,1.0,7.0,3.5,2.5,3.5,2.5
87,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
88,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
89,6.0,3.0,3.0,1.0,4.0,5.0,7.0,4.0,5.0,2.0,1.0,6.0,2.0,7.0
90,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
91,5.5,6.5,1.0,3.0,7.0,5.0,5.5,6.5,4.0,4.0,2.5,1.5,2.5,1.5
92,1.0,1.0,5.0,3.0,4.0,7.0,7.0,5.0,6.0,6.0,3.0,4.0,2.0,2.0
93,7.0,4.0,3.0,3.0,4.0,5.5,6.0,5.5,5.0,7.0,1.5,1.5,1.5,1.5
94,5.5,3.5,7.0,2.0,2.0,5.0,3.0,6.0,4.0,7.0,5.5,3.5,1.0,1.0
95,5.0,5.5,5.0,2.0,2.0,4.0,3.0,7.0,7.0,3.0,5.0,5.5,1.0,1.0
96,5.5,2.5,2.0,7.0,5.5,2.5,5.5,2.5,3.0,5.5,5.5,2.5,1.0,5.5
97,4.5,6.5,2.5,4.5,7.0,2.0,6.0,3.0,2.5,4.5,4.5,6.5,1.0,1.0
98,6.0,7.0,1.0,6.0,3.0,4.0,7.0,3.0,2.0,5.0,4.5,1.5,4.5,1.5
99,6.0,6.0,1.0,7.0,4.0,4.0,7.0,5.0,5.0,3.0,2.5,1.5,2.5,1.5
100,6.5,2.5,3.0,7.0,4.0,5.0,5.0,6.0,1.0,4.0,6.5,2.5,2.0,1.0
101,3.0,2.0,1.0,7.0,2.0,3.0,5.0,1.0,7.0,6.0,5.0,4.5,5.0,4.5
102,1.0,1.0,6.0,7.0,2.0,6.0,4.5,4.0,7.0,5.0,4.5,3.0,3.0,2.0
103,5.0,4.0,5.0,4.0,7.0,6.0,2.5,7.0,2.5,2.0,5.0,4.0,1.0,1.0
104,6.5,5.5,2.0,7.0,4.0,2.0,5.0,4.0,1.0,1.0,6.5,5.5,3.0,3.0
105,4.5,3.5,2.0,6.0,6.0,2.0,4.5,3.5,1.0,5.0,3.0,7.0,7.0,1.0
106,2.5,5.5,1.0,7.0,7.0,4.0,6.0,3.0,4.0,1.0,2.5,5.5,5.0,2.0
107,2.5,3.5,6.0,6.0,1.0,2.0,5.0,5.0,7.0,7.0,2.5,3.5,4.0,1.0
108,6.0,5.0,3.0,6.0,2.0,4.0,4.5,2.5,1.0,7.0,4.5,2.5,7.0,1.0
109,6.0,2.0,1.0,7.0,3.0,3.0,5.0,4.0,7.0,5.0,4.0,1.0,2.0,6.0
110,3.5,3.5,5.5,5.5,5.5,5.5,7.0,7.0,3.5,3.5,1.5,1.5,1.5,1.5
111,4.0,5.0,7.0,4.0,5.0,6.0,6.0,7.0,2.0,3.0,2.0,1.5,2.0,1.5
112,3.5,4.5,1.5,1.0,6.0,6.0,7.0,3.0,1.5,7.0,3.5,4.5,5.0,2.0
113,6.0,4.0,4.0,7.0,6.0,4.0,6.0,4.0,3.0,2.0,1.0,1.0,2.0,6.0
114,3.5,4.0,2.0,5.5,3.5,7.0,5.0,3.0,7.0,5.5,6.0,2.0,1.0,1.0
115,4.0,2.0,2.0,5.0,7.0,7.0,1.0,6.0,6.0,4.0,4.0,2.0,4.0,2.0
116,4.0,6.0,3.0,7.0,6.5,1.5,5.0,5.0,6.5,1.5,1.0,3.0,2.0,4.0
117,6.0,2.0,2.0,6.0,7.0,5.0,5.0,3.0,1.0,7.0,3.5,1.0,3.5,4.0
118,6.0,1.0,4.5,4.0,7.0,6.0,4.5,7.0,3.0,5.0,1.0,2.0,2.0,3.0
119,5.0,6.5,7.0,6.5,4.0,4.0,3.0,3.0,6.0,5.0,1.5,1.5,1.5,1.5
120,5.5,4.5,7.0,6.0,4.0,2.0,3.0,3.0,1.0,7.0,5.5,4.5,2.0,1.0
121,4.0,4.0,1.0,7.0,6.0,2.0,5.0,3.0,7.0,1.0,3.0,5.0,2.0,6.0
122,1.5,1.0,7.0,2.0,1.5,6.0,3.0,7.0,6.0,4.0,5.0,5.0,4.0,3.0
123,2.0,3.0,7.0,7.0,5.5,4.0,4.0,5.0,5.5,6.0,3.0,1.0,1.0,2.0
124,7.0,6.0,5.0,7.0,3.0,5.0,1.0,2.5,6.0,4.0,2.0,2.5,4.0,1.0
125,3.0,1.0,1.0,2.0,2.0,6.0,4.0,7.0,7.0,3.0,6.0,4.0,5.0,5.0
126,3.0,2.0,2.0,7.0,4.0,4.0,6.0,6.0,1.0,3.0,7.0,1.0,5.0,5.0
127,2.0,3.0,3.0,5.0,1.0,7.0,4.0,4.0,7.0,6.0,5.0,1.0,6.0,2.0
128,7.0,2.0,4.5,5.0,2.0,7.0,1.0,4.0,6.0,6.0,3.0,1.0,4.5,3.0
129,3.0,4.0,2.0,6.0,5.0,3.0,4.0,5.0,1.0,7.0,7.0,1.0,6.0,2.0
