,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
251,14,,,,,,,,,,,,,,
252,14,,,,,,,,,,,,,,
253,14,,,,,,,,,,,,,,
254,14,,,,,,,,,,,,,,
255,7,,,,,,,,,,,,,,
256,14,,,,,,,,,,,,,,
257,14,,,,,,,,,,,,,,
258,13,,,,,,,,,,,,,,
259,7,14.0,,,,,,,,,,,,,
260,13,,,,,,,,,,,,,,
261,14,,,,,,,,,,,,,,
262,14,,,,,,,,,,,,,,
263,7,13.0,,,,,,,,,,,,,
264,13,,,,,,,,,,,,,,
265,14,,,,,,,,,,,,,,
266,14,,,,,,,,,,,,,,
267,14,,,,,,,,,,,,,,
268,13,,,,,,,,,,,,,,
269,13,14.0,,,,,,,,,,,,,
270,14,,,,,,,,,,,,,,
271,14,,,,,,,,,,,,,,
272,14,,,,,,,,,,,,,,
273,5,14.0,,,,,,,,,,,,,
274,13,,,,,,,,,,,,,,
275,11,,,,,,,,,,,,,,
276,13,,,,,,,,,,,,,,
277,14,,,,,,,,,,,,,,
278,14,,,,,,,,,,,,,,
279,13,14.0,,,,,,,,,,,,,
280,14,,,,,,,,,,,,,,
281,14,,,,,,,,,,,,,,
282,13,,,,,,,,,,,,,,
283,14,,,,,,,,,,,,,,
284,14,,,,,,,,,,,,,,
285,3,6.0,,,,,,,,,,,,,
286,14,,,,,,,,,,,,,,
287,9,,,,,,,,,,,,,,
288,5,,,,,,,,,,,,,,
289,12,,,,,,,,,,,,,,
290,0,3.0,4.0,6.0,,,,,,,,,,,
292,3,4.0,9.0,14.0,15.0,,,,,,,,,,
293,8,9.0,11.0,,,,,,,,,,,,
295,14,,,,,,,,,,,,,,
296,14,,,,,,,,,,,,,,
297,14,,,,,,,,,,,,,,
298,1,14.0,,,,,,,,,,,,,
299,1,5.0,,,,,,,,,,,,,
301,3,4.0,,,,,,,,,,,,,
302,8,9.0,,,,,,,,,,,,,
303,0,3.0,4.0,6.0,9.0,10.0,11.0,,,,,,,,
304,13,,,,,,,,,,,,,,
306,14,,,,,,,,,,,,,,
307,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,13.0,14.0,15.0,
308,7,,,,,,,,,,,,,,
309,14,,,,,,,,,,,,,,
310,14,,,,,,,,,,,,,,
311,0,5.0,,,,,,,,,,,,,
312,15,,,,,,,,,,,,,,
313,1,6.0,,,,,,,,,,,,,
314,7,,,,,,,,,,,,,,
315,0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,11.0,13.0,14.0,15.0,,
316,5,7.0,13.0,14.0,,,,,,,,,,,
317,15,,,,,,,,,,,,,,
318,13,,,,,,,,,,,,,,
320,7,,,,,,,,,,,,,,
321,1,14.0,,,,,,,,,,,,,
322,6,,,,,,,,,,,,,,
323,9,,,,,,,,,,,,,,
324,1,8.0,,,,,,,,,,,,,
325,0,14.0,,,,,,,,,,,,,
326,5,9.0,,,,,,,,,,,,,
327,5,9.0,10.0,11.0,12.0,,,,,,,,,,
328,0,1.0,2.0,3.0,4.0,6.0,7.0,15.0,,,,,,,
329,0,2.0,6.0,15.0,,,,,,,,,,,
330,0,1.0,7.0,15.0,,,,,,,,,,,
331,3,4.0,7.0,,,,,,,,,,,,
332,0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,15.0,,,,
333,7,,,,,,,,,,,,,,
334,3,4.0,6.0,15.0,,,,,,,,,,,
335,7,,,,,,,,,,,,,,
336,10,,,,,,,,,,,,,,
337,13,15.0,,,,,,,,,,,,,
338,1,,,,,,,,,,,,,,
339,0,2.0,3.0,4.0,6.0,13.0,14.0,,,,,,,,
340,13,14.0,15.0,,,,,,,,,,,,
341,6,,,,,,,,,,,,,,
342,7,,,,,,,,,,,,,,
343,2,,,,,,,,,,,,,,
344,0,1.0,2.0,3.0,4.0,6.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,,
345,7,,,,,,,,,,,,,,
346,14,,,,,,,,,,,,,,
347,12,,,,,,,,,,,,,,
348,9,,,,,,,,,,,,,,
349,14,,,,,,,,,,,,,,
350,15,,,,,,,,,,,,,,
351,0,,,,,,,,,,,,,,
352,2,,,,,,,,,,,,,,
353,13,,,,,,,,,,,,,,
355,5,,,,,,,,,,,,,,
356,0,,,,,,,,,,,,,,
357,0,3.0,4.0,6.0,10.0,12.0,14.0,,,,,,,,
358,14,15.0,,,,,,,,,,,,,
359,3,4.0,5.0,6.0,,,,,,,,,,,
360,14,,,,,,,,,,,,,,
361,8,,,,,,,,,,,,,,
362,5,,,,,,,,,,,,,,
363,14,,,,,,,,,,,,,,
364,14,,,,,,,,,,,,,,
365,15,,,,,,,,,,,,,,
366,0,3.0,4.0,5.0,6.0,8.0,9.0,15.0,,,,,,,
367,4,6.0,,,,,,,,,,,,,
369,1,2.0,3.0,4.0,5.0,6.0,8.0,9.0,13.0,14.0,15.0,,,,
370,13,14.0,15.0,,,,,,,,,,,,
371,3,4.0,5.0,6.0,7.0,9.0,,,,,,,,,
372,2,,,,,,,,,,,,,,
373,2,8.0,,,,,,,,,,,,,
374,14,,,,,,,,,,,,,,
375,4,15.0,,,,,,,,,,,,,
376,7,,,,,,,,,,,,,,
377,5,,,,,,,,,,,,,,
378,13,14.0,,,,,,,,,,,,,
380,5,13.0,14.0,,,,,,,,,,,,
381,14,,,,,,,,,,,,,,
382,0,2.0,10.0,12.0,,,,,,,,,,,
383,2,14.0,15.0,,,,,,,,,,,,
384,13,,,,,,,,,,,,,,
385,2,3.0,4.0,6.0,,,,,,,,,,,
386,12,13.0,14.0,,,,,,,,,,,,
388,0,5.0,7.0,8.0,15.0,,,,,,,,,,
389,8,,,,,,,,,,,,,,
390,1,2.0,11.0,,,,,,,,,,,,
391,1,3.0,4.0,6.0,10.0,15.0,,,,,,,,,
392,14,,,,,,,,,,,,,,
393,5,15.0,,,,,,,,,,,,,
394,2,4.0,5.0,9.0,13.0,,,,,,,,,,
395,3,4.0,5.0,6.0,9.0,,,,,,,,,,
396,1,5.0,8.0,9.0,13.0,14.0,,,,,,,,,
397,3,8.0,9.0,,,,,,,,,,,,
398,0,3.0,6.0,8.0,,,,,,,,,,,
399,4,11.0,,,,,,,,,,,,,
400,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,12.0,14.0,15.0,,
401,0,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,14.0,15.0,,,,
402,1,4.0,5.0,11.0,14.0,,,,,,,,,,
403,13,,,,,,,,,,,,,,
404,0,8.0,9.0,15.0,,,,,,,,,,,
405,14,,,,,,,,,,,,,,
407,3,,,,,,,,,,,,,,
408,6,14.0,,,,,,,,,,,,,
409,1,2.0,3.0,4.0,5.0,6.0,12.0,13.0,14.0,,,,,,
410,0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,11.0,15.0,,,,,
411,14,,,,,,,,,,,,,,
412,3,5.0,6.0,9.0,13.0,14.0,,,,,,,,,
413,5,9.0,10.0,11.0,12.0,,,,,,,,,,
415,9,,,,,,,,,,,,,,
416,13,,,,,,,,,,,,,,
417,13,,,,,,,,,,,,,,
418,14,,,,,,,,,,,,,,
419,0,3.0,5.0,7.0,14.0,,,,,,,,,,
420,0,2.0,3.0,5.0,6.0,7.0,10.0,12.0,14.0,15.0,,,,,
421,14,,,,,,,,,,,,,,
422,14,,,,,,,,,,,,,,
423,14,,,,,,,,,,,,,,
426,14,,,,,,,,,,,,,,
427,2,,,,,,,,,,,,,,
428,14,,,,,,,,,,,,,,
429,5,,,,,,,,,,,,,,
430,9,,,,,,,,,,,,,,
431,3,6.0,,,,,,,,,,,,,
432,1,7.0,15.0,,,,,,,,,,,,
433,14,,,,,,,,,,,,,,
434,14,,,,,,,,,,,,,,
435,14,,,,,,,,,,,,,,
436,5,8.0,9.0,12.0,14.0,,,,,,,,,,
437,3,6.0,15.0,,,,,,,,,,,,
438,14,,,,,,,,,,,,,,
439,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,13.0,14.0,15.0,,,
440,7,,,,,,,,,,,,,,
442,14,,,,,,,,,,,,,,
443,14,,,,,,,,,,,,,,
444,13,,,,,,,,,,,,,,
445,7,14.0,,,,,,,,,,,,,
447,5,6.0,,,,,,,,,,,,,
448,1,,,,,,,,,,,,,,
449,1,,,,,,,,,,,,,,
450,4,6.0,,,,,,,,,,,,,
451,7,,,,,,,,,,,,,,
452,1,2.0,3.0,4.0,6.0,7.0,8.0,9.0,13.0,14.0,,,,,
453,13,14.0,,,,,,,,,,,,,
454,14,,,,,,,,,,,,,,
455,5,,,,,,,,,,,,,,
456,13,,,,,,,,,,,,,,
457,15,,,,,,,,,,,,,,
458,13,15.0,,,,,,,,,,,,,
459,14,,,,,,,,,,,,,,
460,2,10.0,11.0,14.0,15.0,,,,,,,,,,
461,0,2.0,3.0,4.0,6.0,,,,,,,,,,
462,11,,,,,,,,,,,,,,
464,14,,,,,,,,,,,,,,
466,0,1.0,3.0,6.0,10.0,11.0,12.0,13.0,14.0,,,,,,
