dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
251,0.792,0.0543241300999023,0.7579999999999999,0.0682804673550366,0.706,0.0452646538580478,0.794,0.0313404247294484,0.8939999999999999,0.0365756445982538,0.792,0.0543241300999023,0.5900000000000001,0.0801387685344754
252,0.798,0.0642564307201146,0.766,0.0525357021462547,0.698,0.0662989860824097,0.7979999999999999,0.054528280124476,0.5940000000000001,0.0952423808559567,0.5879999999999999,0.013984117975602,0.5899999999999999,0.0105409255338946
253,0.7060000000000001,0.0518973345494095,0.6910000000000001,0.0344641520681675,0.6679999999999999,0.0444222166638871,0.6619999999999999,0.035213633723318,0.757,0.0316403399335581,0.5680000000000001,0.0091893658347267,0.5640000000000001,0.0069920589878009
254,0.705,0.044783429475148,0.6990000000000001,0.0495423500093046,0.671,0.0627959659001542,0.665,0.0514781507049349,0.6050000000000001,0.0435252161906686,0.5530000000000002,0.0125166555703457,0.558,0.0091893658347267
255,0.7080000000000001,0.0454116969758037,0.6819999999999999,0.0528730134903956,0.655,0.0259272486435067,0.6579999999999999,0.0335989417822777,0.8800000000000001,0.0333333333333333,0.6990000000000001,0.0276686746259294,0.5630000000000001,0.0048304589153964
256,0.71,0.023094010767585,0.7110000000000001,0.0493175650475793,0.675,0.044284434185288,0.679,0.0548634668973808,0.604,0.0437670601657862,0.5549999999999999,0.0052704627669473,0.5549999999999999,0.0227303028283097
257,0.51,0.0875595035770913,0.71,0.1595131481867386,0.5800000000000001,0.1475729574745243,0.6199999999999999,0.1686548085423136,0.51,0.1370320319406297,0.5899999999999999,0.0316227766016837,0.5999999999999999,1.1702778228589004e-16
258,0.47,0.1159501808728405,0.67,0.105934990547138,0.53,0.1418136492412176,0.52,0.1751190071541826,0.5700000000000001,0.2311805451253293,0.54,0.0843274042711567,0.5,0.0942809041582063
259,0.6199999999999999,0.0632455532033675,0.75,0.1178511301977579,0.64,0.1173787790777267,0.65,0.1178511301977579,0.85,0.1715938356831166,0.67,0.1159501808728405,0.5799999999999998,0.0632455532033675
260,0.78,0.1932183566158591,0.76,0.1429840705968481,0.54,0.1429840705968481,0.6,0.1154700538379251,0.6,0.1414213562373095,0.58,0.0788810637746615,0.6299999999999999,0.0823272602348564
261,0.6799999999999999,0.1207384685084988,0.74,0.0805536398239638,0.6719999999999999,0.070047602861673,0.6519999999999999,0.0731512891965077,0.6479999999999999,0.0859974159818512,0.528,0.0647731082746193,0.5160000000000001,0.0579655069847577
262,0.724,0.0691536132260796,0.744,0.0539958846168442,0.636,0.1040512694140089,0.6839999999999999,0.0873307887670016,0.572,0.0998665776590613,0.5120000000000001,0.1011928851253881,0.5280000000000001,0.1011928851253881
263,0.744,0.0868203765125317,0.748,0.0865126837200444,0.6759999999999999,0.122854927997754,0.744,0.1134509193929741,0.8200000000000001,0.0507718207057593,0.744,0.0868203765125317,0.5640000000000001,0.0126491106406734
264,0.696,0.0946572765295938,0.6839999999999999,0.0716782936304832,0.58,0.090921211313239,0.62,0.0659966329107444,0.532,0.0801110340575989,0.568,0.0168654808542313,0.5519999999999999,0.0454116969758037
