dataset,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd
55,69.70117622494432,13.230387742808697,0.3462695676509253,0.2252598074522609,21.918290645879733,14.941872199349074,3.241865683928576,0.2757835959076181
56,69.70117622494432,13.230387742808697,0.3462695676509253,0.2252598074522609,21.918290645879733,14.941872199349074,3.241865683928576,0.2757835959076181
57,inf,,,,,,,
58,142.41413237924866,0.5409480000117668,0.2447363697681503,0.2501888112968254,34.88461538461539,35.58688290176078,1.4973974006632484,0.0398372145427512
59,142.41413237924866,0.5409480000117668,0.0648086419384148,0.1686199329622989,9.199016100178891,23.68557275129922,1.4973974006632484,0.0398372145427512
60,142.41413237924866,0.5409480000117668,0.0813769936269976,0.1851804527156978,11.554561717352415,26.083621846204714,1.4974655492600095,0.039915979262774
61,142.41413237924866,0.5409480000117668,0.0445566021874883,0.1430346603543982,6.306797853309481,19.97291694128955,1.4974655492600095,0.039915979262774
62,12.043694690265486,3.079928553190897,0.3738958750114349,0.1972714642623639,4.412610619469026,2.7345106213733,3.936170478179062,0.3585509729305694
63,inf,,,,,,,
64,inf,,,,,,,
65,inf,,,,,,,
66,60.721698113207545,9.260449158499188,0.3990420452552841,0.1663118888635773,23.16194968553459,9.267181202528112,0.9122142389654396,0.1859283510832528
67,inf,,,,,,,
68,44.24135220125786,4.9787894554424446,0.4014658725922956,0.1663505007563138,17.64701257861635,6.679658459999721,1.383112113543124,0.1917728945499994
69,11.755729166666669,5.124866906868024,0.2221896059101595,0.2629742519256635,2.0416666666666665,2.367637233837665,3.5346539716963714,0.5950504897014143
70,241.808,24.13086849043283,0.401555004781537,0.0807930505813694,111.5512,17.260598592808165,0.7709907678719828,0.0462398651438339
71,999.2603698150924,4.589415666854378,0.3533772711917856,0.2248858088766651,365.43778110944527,221.5261756584852,0.2730528470447692,0.0506008252174366
72,1557.694839477539,165.76800707023736,0.4266340888010803,0.1765868455724375,661.0921478271484,281.4965996515994,1.9556658022163436,0.0980366570308132
73,3041.777404785156,306.0028664215338,0.4762477130623577,0.1001738619586873,1448.2580871582031,322.11357361578183,0.940787613129268,0.0778455637673581
74,46.739583333333336,1.304807238569959,0.481958569004528,0.041129852247576,23.484375,0.9554638581393472,0.5305426369755878,0.0740997034714356
75,inf,,,,,,,
76,116.609623015873,9.760674788019326,0.4799554359445941,0.0251843305671533,56.47867063492063,6.9775008488903625,0.6560246620001556,0.148788446451914
77,9.88125,0.8595010105750238,0.339309822284661,0.2126445057653402,4.28125,1.3956060855964505,1.1480539803316705,0.1601487245994367
78,125.72949604743084,17.518269623085295,0.4555772532598353,0.1004160217701518,56.56842885375494,14.567063207692495,1.524900075863546,0.1855508056285243
79,73.23591897233202,6.680538685174616,0.4822194697287271,0.0583582641239297,33.889081027667984,5.4885543571185735,2.3104414583376287,0.1296719672438261
80,25.77229020979021,4.007530641404823,0.4018634955150746,0.2011151493935854,10.093968531468532,4.9201762718803765,2.9780081105599727,0.222915084005171
81,inf,,,,,,,
82,29.70826048951049,5.031526763195167,0.4852413159126219,0.0680440183541637,14.535183566433568,3.5206273954867475,2.6483684555023936,0.3029279567709752
83,inf,,,,,,,
84,6.028621495327103,0.8209727127044418,0.4819931774598583,0.0822795235896429,2.81892523364486,0.6843939580944035,3.800973749821038,0.2155869122696712
86,182.125,0.0,0.3647741702257014,0.1667906289407457,71.48191550925925,31.583278514926185,2.557991558601609,7.587990265182057e-15
87,inf,,,,,,,
88,inf,,,,,,,
89,95.11436170212764,13.916407082141475,0.3993029729718378,0.1376088763815824,39.58244680851064,13.475878819571117,0.7772441385461947,0.206426582824282
90,inf,,,,,,,
91,18.84722222222222,0.6217245942123516,0.2447068463532653,0.1771852679381192,7.138888888888889,2.790479566818677,0.8350484184156057,0.0457948642493595
92,22.20833333333333,1.2240208128764027,0.488965664548634,0.0648952153533817,11.59375,1.0947468861252134,0.4340062676566443,0.0234567185541023
93,14.34375,0.9327162898863484,0.3742831765605841,0.1618731804396606,7.0625,1.186279083738784,0.4460654477157738,0.0215169909826865
